id,formation_energy_ev_natom,bandgap_energy_ev
132,0.3440015,0.2684176
133,0.065801695,3.3317509
134,0.17154951,1.3788329
135,0.15003686,2.694038
136,0.21471521,0.84147114
137,0.21592954,0.8274623
138,0.26526663,2.2876348
139,0.14899036,2.0559726
140,0.20401555,2.1817474
141,0.139506,2.1495347
142,0.19388774,3.1167312
143,0.25711736,3.3759809
144,0.053234406,0.9894045
145,0.412534,1.6782147
146,0.062148828,4.3300095
147,0.17673823,1.5320371
148,0.18661991,2.4318056
149,0.25336707,2.1376133
150,0.08306501,1.2347529
151,0.20542079,1.6807147
152,0.06112066,3.7669
153,0.06816514,4.5738935
154,0.23959935,3.8776693
155,0.128654,1.2097204
156,0.020546183,2.6833367
157,0.11502227,2.231062
158,0.015990086,5.3547187
159,0.0713956,4.4715996
160,0.15215008,1.6417017
161,0.20650932,2.1591988
162,0.41306514,1.3457215
163,0.032211065,3.2794032
164,0.3379003,0.3540299
165,0.34031853,0.21323001
166,0.34451732,0.7146409
167,0.31651992,1.3906218
168,0.11117973,2.285016
169,0.19641605,1.6281513
170,0.22690615,1.8301072
171,0.15753272,1.970476
172,0.25130028,3.0068574
173,0.15172322,1.7087892
174,0.25253287,0.80010706
175,0.10500823,3.4357748
176,0.13554296,2.1104069
177,0.40496662,1.4664357
178,0.3691473,0.6855849
179,0.23308387,2.7209406
180,0.17485267,1.6043677
181,0.26849827,1.4048089
182,0.059243713,3.9946508
183,0.25711736,3.3759809
184,0.28596672,1.1121511
185,0.1281842,1.8266108
186,0.37674668,1.4256502
187,0.24072728,3.750515
188,0.15215008,1.6417017
189,0.20554307,0.6793247
190,0.1631411,1.29292
191,0.2527229,1.5489295
192,0.04268615,4.0308285
193,0.22106192,2.8189392
194,0.15956616,2.3807125
195,0.33645967,1.2817194
196,0.053234406,0.9894045
197,0.13798848,1.3490354
198,0.23354775,2.3076186
199,0.254711,2.2711215
200,0.15430726,1.3912094
201,0.1267046,1.5629909
202,0.058130126,1.2322367
203,0.3704637,0.6316047
204,0.18295684,2.2476206
205,0.17841066,1.5495919
206,0.13880405,1.2006762
207,0.08773153,0.9497183
208,0.35997286,0.99774325
209,0.24029857,2.4287424
210,0.21741153,2.5173779
211,0.21404162,2.4185305
212,0.30159742,1.2843449
213,0.26718807,1.5435367
214,0.2546147,0.63707733
215,0.13323286,3.219192
216,0.07871007,1.035439
217,0.15825841,2.059681
218,0.25618973,1.231943
219,0.25380716,3.713078
220,0.04337273,2.9105911
221,0.11762137,1.9087878
222,0.21137449,1.7101898
223,0.2822907,2.9751806
224,0.064725906,3.5565314
225,0.03627161,4.8032136
226,0.4013534,1.4151326
227,0.3108281,1.5728644
228,0.3963966,1.3531659
229,0.22760665,2.0103655
230,0.22789598,2.4520268
231,0.14972882,1.2974945
232,0.025844686,3.067974
233,0.079559386,4.254691
234,0.24332574,3.135007
235,0.083524674,4.3720694
236,0.35688114,2.2133188
237,0.009664878,2.3553667
238,0.1957267,2.546092
239,0.31512156,1.0268297
240,0.08147773,4.041149
241,0.24599117,2.0041537
242,0.20016819,0.81056917
243,0.07809311,4.2603054
244,0.024740405,5.084229
245,0.13641115,2.08983
246,0.19619358,2.9265614
247,0.36709172,0.6575469
248,0.3060798,1.5738535
249,0.1768406,1.402337
250,0.20347826,2.806395
251,0.03720583,2.4262276
252,0.116523705,1.1497691
253,0.2644318,1.9256471
254,0.32749408,1.1413406
255,0.36533543,0.5454109
256,0.032211065,3.2794032
257,0.105387695,1.1112679
258,0.15976073,1.8519964
259,0.35061693,0.2996553
260,0.2350829,2.548595
261,0.10577141,3.1512504
262,0.02288685,1.7350686
263,0.065422356,2.9103155
264,0.34326068,0.9570929
265,0.12714103,1.447119
266,0.19938433,2.8541145
267,0.34918818,2.3183517
268,0.025907688,3.2318068
269,0.064725906,3.5565314
270,0.20502652,3.157692
271,0.20319459,2.1396246
272,0.3599983,1.2821566
273,0.3010312,2.8459282
274,0.37958887,0.91633016
275,0.28340304,1.7974048
276,0.17300332,1.461205
277,0.09637189,1.0753404
278,0.13461907,1.786261
279,0.14870007,3.4952269
280,0.121500246,2.1530094
281,0.026835449,3.1123343
282,0.06681901,2.8807583
283,0.05591378,4.6311007
284,0.36533543,0.5454109
285,0.17673823,1.5320371
286,0.23922408,0.8408471
287,0.12240797,2.853263
288,0.047675077,4.514269
289,0.21862096,2.5695472
290,0.106637,2.9924917
291,0.23955205,3.9394255
292,0.21048336,2.07872
293,0.24011785,3.813869
294,0.40643236,1.199403
295,0.22680831,2.5809464
296,0.18375148,1.4817805
297,0.21356893,1.7814101
298,0.21359907,2.653811
299,0.11995742,3.251536
300,0.13467129,2.2952085
301,0.107464984,3.2036633
302,0.13629222,1.3098654
303,0.11731709,1.7585622
304,0.11113128,2.2732096
305,0.31983575,0.962932
306,0.04286877,0.973998
307,0.17485267,1.6043677
308,0.17052072,1.8397237
309,0.20430055,3.2555814
310,0.408632,1.2264438
311,0.22789598,2.4520268
312,0.37135768,0.82223415
313,0.16980305,1.3172032
314,0.14908032,2.017601
315,0.26912382,2.1469479
316,0.31651992,1.3906218
317,0.25429866,1.0179093
318,0.036665093,4.8647547
319,0.23363888,0.8696528
320,0.065801695,3.3317509
321,0.12980935,1.80953
322,0.24217638,2.0325413
323,0.103382446,3.093903
324,0.37444112,0.62623966
325,0.039143115,2.7628913
326,0.05972426,0.9997021
327,0.22682604,2.7538323
328,0.03627161,4.8032136
329,0.09591501,3.8841004
330,0.08306501,1.2347529
331,0.21797293,2.4415507
332,0.23354775,2.3076186
333,0.10577141,3.1512504
334,0.38918927,2.0154195
335,0.2051863,1.4756304
336,0.22586894,1.571861
337,0.31252605,1.6576911
338,0.025048845,2.9672098
339,0.10101462,1.8608229
340,0.25905967,1.6747541
341,0.22112858,2.3169951
342,0.12627074,1.2991432
343,0.059995037,2.4258423
344,0.2544938,0.95737374
345,0.10760281,3.2763963
346,0.27587706,3.3804684
347,0.1777086,2.4163842
348,0.14581078,1.7185453
349,0.34465948,1.5097823
350,0.38886657,1.4424299
351,0.12032884,2.0088024
352,0.23939252,2.0388439
353,0.21601349,0.8006721
354,0.07871007,1.035439
355,0.10200799,2.257811
356,0.08790451,2.8763409
357,0.25528997,1.1602656
358,0.23046026,2.6143045
359,0.13184826,2.728013
360,0.059243713,3.9946508
361,0.38667825,1.8913527
362,0.08701425,2.6411076
363,0.24399334,1.7456741
364,0.09591501,3.8841004
365,0.2430447,1.0986116
366,0.27587822,3.0776916
367,0.33993366,1.5337173
368,0.10596134,2.2699075
369,0.0090510845,1.9202509
370,0.16396382,1.3077652
371,0.36367044,1.3886473
372,0.15215008,1.6417017
373,0.1281842,1.8266108
374,0.10500823,3.4357748
375,0.18764988,3.2874484
376,0.19764987,3.7612128
377,0.03818086,0.96746194
378,0.3036893,1.3819987
379,0.13798848,1.3490354
380,0.06112066,3.7669
381,0.25109795,3.5253134
382,0.15081947,2.2344074
383,0.06897953,3.128765
384,0.3676427,0.6976502
385,0.16471404,1.306908
386,0.35688114,2.2133188
387,0.19044396,0.6941334
388,0.058621727,3.9906983
389,0.08700008,4.118718
390,0.20926753,2.2690725
391,0.21090466,1.6250604
392,0.3581526,2.404491
393,0.32142267,0.9185776
394,0.058130126,1.2322367
395,0.34302706,0.29615992
396,0.26035297,2.3863297
397,0.18934408,2.449904
398,0.34397984,0.24276644
399,0.26321542,1.420939
400,0.22116157,2.601215
401,0.08790451,2.8763409
402,0.018234253,2.3296351
403,0.2446554,0.9085455
404,0.16231233,2.1803355
405,0.19548601,2.4840727
406,0.06773932,1.0124897
407,0.2679868,1.6173398
408,0.14902696,1.2464805
409,0.13564874,1.351242
410,0.055927135,0.992519
411,0.17821158,1.1535535
412,0.01688151,1.8279688
413,0.15013695,1.3204641
414,0.05366816,0.98975056
415,0.17332792,1.576274
416,0.36017329,0.55984133
417,0.07176165,1.0179734
418,0.3496854,0.26967996
419,0.074649855,4.365228
420,0.13684292,0.9934568
421,0.1771501,2.3850708
422,0.19978592,1.5679815
423,0.12739426,3.657916
424,0.08700008,4.118718
425,0.41086423,1.2536618
426,0.1755834,2.4527626
427,0.03709756,0.967262
428,0.15001826,2.4472976
429,0.19641605,1.6281513
430,0.18987414,2.8434052
431,0.14958242,2.0936947
432,0.20189801,2.7268786
433,0.03709756,0.967262
434,0.34465948,1.5097823
435,0.20662633,2.376976
436,0.19425887,3.0010695
437,0.13278161,1.7902046
438,0.33535722,1.7789731
439,0.34015295,0.21431452
440,0.1976282,2.649589
441,0.3461959,0.7623836
442,0.3481448,0.28621465
443,0.2587266,3.24691
444,0.14131957,1.7179449
445,0.078486085,2.2030654
446,0.24344277,2.4330492
447,0.03627161,4.8032136
448,0.23191357,2.77315
449,0.35204405,0.4622062
450,0.16156757,2.5065951
451,0.3346998,1.4043798
452,0.14763832,1.6355226
453,0.10749502,1.8625487
454,0.13441493,1.2766511
455,0.341791,0.77816427
456,0.22789598,2.4520268
457,0.078126,1.4029374
458,0.18857737,2.4256778
459,0.19938411,1.9043717
460,0.025556013,3.007475
461,0.33941254,0.2984105
462,0.12119033,1.8521913
463,0.124275506,2.2492185
464,0.085910834,1.0476979
465,0.15494342,3.3336039
466,0.04806208,0.98123574
467,0.37132734,0.6660292
468,0.3093658,1.0521965
469,0.2954877,1.7717832
470,0.15594418,1.2860272
471,0.10026779,3.0280304
472,0.28468212,1.6829509
473,0.032742552,3.8448658
474,0.10829356,1.584869
475,0.21741153,2.5173779
476,0.14844884,2.0859914
477,0.08461688,3.7972164
478,0.16589485,0.86476827
479,0.3325986,2.3033757
480,0.08306501,1.2347529
481,0.12093339,2.1990867
482,0.14930522,1.2621319
483,0.40800402,1.7282972
484,0.17673823,1.5320371
485,0.25707558,1.305515
486,0.11182238,1.006989
487,0.18908553,1.1056476
488,0.12154259,2.2269402
489,0.19339134,1.7804351
490,0.23354775,2.3076186
491,0.40643236,1.199403
492,0.2101903,2.5752902
493,0.15097082,1.795529
494,0.34150457,0.9163463
495,0.39964956,1.3757689
496,0.33224404,0.6129621
497,0.059333608,1.2055438
498,0.2037549,2.3261905
499,0.20926753,2.2690725
500,0.14844884,2.0859914
501,0.0629637,1.0036172
502,0.3999807,1.1376275
503,0.22647062,2.6604772
504,0.21601349,0.8006721
505,0.3686144,0.77219266
506,0.23512578,1.3969182
507,0.3556119,1.6700591
508,0.34400514,0.24183701
509,0.12681447,2.0755577
510,0.0474971,0.981663
511,0.27409172,1.606456
512,0.07941942,2.421175
513,0.16838582,2.3796344
514,0.02288685,1.7350686
515,0.37290317,1.445557
516,0.03720583,2.4262276
517,0.14353019,1.7517413
518,0.28653312,3.0708952
519,0.21592954,0.8274623
520,0.10500823,3.4357748
521,0.2510889,2.241932
522,0.055927135,0.992519
523,0.1976282,2.649589
524,0.07871007,1.035439
525,0.23954627,1.9863579
526,0.15720695,3.9360695
527,0.22106192,2.8189392
528,0.047675077,4.514269
529,0.4041057,1.4690037
530,0.3036893,1.3819987
531,0.12119033,1.8521913
532,0.18212748,1.3396407
533,0.014983557,2.5015402
534,0.13564874,1.351242
535,0.07036909,2.2948055
536,0.116523705,1.1497691
537,0.24727261,1.002195
538,0.08978278,1.05793
539,0.061486717,4.2085733
540,0.06692231,2.6629748
541,0.30821165,2.2381244
542,0.35959694,1.4891034
543,0.12390535,3.047738
544,0.39674762,1.3816452
545,0.41000322,1.5597852
546,0.25118086,2.7412271
547,0.15255576,3.6425443
548,0.3439216,1.7032489
549,0.20684308,2.6401596
550,0.047675077,4.514269
551,0.33722603,1.4724437
552,0.108621955,1.1092298
553,0.20279771,2.7731123
554,0.3704637,0.6316047
555,0.18874514,2.0393388
556,0.19387722,2.3920655
557,0.111780584,2.2018328
558,0.101445585,3.027732
559,0.253177,1.0485075
560,0.23191357,2.77315
561,0.091388516,0.96778667
562,0.23709252,2.3917427
563,0.25173438,1.98545
564,0.104613096,3.502376
565,0.35490802,0.3039666
566,0.10550791,3.355494
567,0.37290317,1.445557
568,0.28663987,1.2908928
569,0.23183781,1.577583
570,0.37179944,1.448212
571,0.29277357,1.3710474
572,0.13880405,1.2006762
573,0.23191357,2.77315
574,0.1279517,1.8331907
575,0.032211065,3.2794032
576,0.22290671,2.4509435
577,0.34498987,0.25969738
578,0.25275958,1.2310429
579,0.19461149,1.4234203
580,0.17300332,1.461205
581,0.064725906,3.5565314
582,0.105387695,1.1112679
583,0.2862363,1.5280378
584,0.13629222,1.3098654
585,0.25353768,1.1335872
586,0.024740405,5.084229
587,0.024740405,5.084229
588,0.15560555,3.7180572
589,0.36982724,0.46067435
590,0.14668274,2.127616
591,0.025048845,2.9672098
592,0.21090466,1.6250604
593,0.124910966,1.1479633
594,0.06112066,3.7669
595,0.13117187,1.9478331
596,0.048148844,1.3333175
597,0.24649769,0.9803168
598,0.1018805,0.8711505
599,0.254711,2.2711215
600,0.21272638,2.2224407
