id,spacegroup,Natoms,x_Al,x_Ga,x_In,a,b,c,alpha,beta,gamma,avg_HOMO,avg_rs_max,avg_rp_max,avg_mass,avg_rd_max,avg_LUMO,avg_EA,avg_electronegativity,avg_IP,alpha_r,beta_r,gamma_r,vol,atomic_density,formation_energy_ev_natom,bandgap_energy_ev
26,33,40.0,0.875,0.0,0.125,4.987,8.5565,9.1881,90.0055,90.0021,90.001,-2.707875,1.125,1.48625,37.961096275,2.96375,0.408875,-0.263325,1.63125,-5.749675,1.570892319903756,1.5708329787091884,1.5708137800874167,392.06785241107656,0.10202315684393494,0.1783,3.3353
27,227,40.0,0.4375,0.25,0.3125,6.0436,6.0427,14.2577,90.0159,90.0033,120.0023,-2.7329375000000002,1.0825,1.423125,65.11579813750001,2.506875,0.4106875,-0.23681249999999998,1.7131250000000002,-5.7137375,1.5710738341459638,1.5708539226602123,2.0944352449659913,450.9171531058987,0.08870809133004068,0.3518,0.976
28,227,40.0,0.875,0.125,0.0,9.7899,5.6664,13.9461,90.5713,90.6612,30.2512,-2.701375,1.1124999999999998,1.47875,32.324221275,2.99125,0.33825,-0.237775,1.6350000000000002,-5.784775,1.58076739281154,1.5823364438090828,0.5279830426793086,389.7271545897766,0.10263590701577788,0.2237,1.9672
29,12,80.0,0.0938,0.5,0.4062,24.717,6.3698,6.2742,90.0001,104.8049,90.0001,-2.7498394,1.043752,1.3703180000000001,84.03143992068,2.159746,0.3818274,-0.20502844,1.7790540000000001,-5.70055588,1.5707980721241486,1.829190577223405,1.5707980721241486,955.0305089551257,0.08376695744257003,0.1898,1.1496
30,206,80.0,0.8125,0.0312,0.1562,9.2018,9.2011,9.2015,90.00200000000001,90.00299999999999,89.9991,-2.7114117,1.119271,1.477364,42.0324293125,2.8972949999999997,0.411615,-0.26042897,1.642633,-5.74271972,1.5708312333799366,1.570848686672456,1.5707806188316287,779.0604726003296,0.10268779230061294,0.2106,3.3923
31,194,80.0,0.3438,0.3125,0.3438,6.5261,6.5257,24.2821,90.0123,90.0054,119.9935,-2.7381178,1.072611,1.409207,70.53911887068,2.41119,0.4060844,-0.22933468999999998,1.7311070000000002,-5.70910962,1.5710110022928918,1.570890574574504,2.0942816559918156,895.6248268863393,0.0893231156600715,0.3269,1.546
32,227,40.0,0.0,0.25,0.75,10.4296,6.1786,15.1318,96.7363,97.9868,32.4294,-2.771,1.0650000000000002,1.375,103.54425,1.995,0.55375,-0.2614,1.7875,-5.607600000000001,1.6883669411969906,1.7101922834931798,0.5659998044462491,517.833963056408,0.07724483686606468,0.2721,0.4095
33,33,40.0,0.5625,0.0,0.4375,5.2334,8.9433,9.5725,90.0037,90.0005,90.0006,-2.7350624999999997,1.1124999999999998,1.4518749999999998,65.4099904625,2.598125,0.5110625,-0.28088749999999996,1.6843750000000002,-5.6738625,1.5708609039772201,1.5708050534411566,1.5708067987704086,448.0300084151315,0.08927973405508403,0.2342,2.1264
34,12,80.0,0.5938,0.2188,0.1875,24.2551,6.1051,5.9477,89.9995,104.3985,90.0002,-2.7212402000000004,1.091981,1.442329,52.80540502068,2.683076,0.37727489999999997,-0.23443696999999997,1.685796,-5.74344866,1.5707876001486365,1.8220975591433002,1.5707998174534008,853.0701384645038,0.09377892437308517,0.1469,2.4457
35,206,80.0,0.0,0.5625,0.4375,9.7916,9.7916,9.7914,90.0034,90.00299999999999,89.9955,-2.75475,1.03375,1.35625,89.4520625,2.06375,0.37718749999999995,-0.197525,1.796875,-5.6953499999999995,1.5708556679894643,1.570848686672456,1.5707177869785571,938.7546849503782,0.0852192817596737,0.1259,1.3632
36,12,80.0,0.3438,0.4062,0.25,24.4984,6.2112,6.0629,89.9998,104.4804,90.0001,-2.7329670000000004,1.063132,1.403446,66.30223557068,2.43161,0.3530744,-0.21015116,1.7337400000000003,-5.7348668400000005,1.5707928361363925,1.8235269838006833,1.5707980721241486,893.2512364534344,0.0895604693676463,0.1064,1.9758
37,33,40.0,0.5,0.0,0.5,5.2826,9.0207,9.6494,90.0033,90.0001,90.0006,-2.7405,1.1099999999999999,1.4449999999999998,70.8997693,2.525,0.5315,-0.2844,1.695,-5.6587,1.5708539226602123,1.5707980721241486,1.5708067987704086,459.82044332451727,0.08699047765427446,0.2341,1.9983
38,33,80.0,0.3125,0.0625,0.625,10.7916,9.2003,9.827,90.0019,89.9989,90.0004,-2.7535624999999997,1.09625,1.4206249999999998,84.55066831250001,2.319375,0.5574999999999999,-0.2821625,1.7287500000000002,-5.6307624999999994,1.5708294880506846,1.5707771281731249,1.5708033081119046,975.6831034159113,0.08199383562133682,0.2993,1.3459999999999999
39,227,40.0,0.25,0.4375,0.3125,6.0905,6.0882,14.9241,90.042,88.1559,120.0197,-2.7395,1.05625,1.3912499999999999,73.12982215,2.3287500000000003,0.36606249999999996,-0.209025,1.7506249999999999,-5.7209,1.571529365080734,1.5386107100588693,2.0947389322558383,478.8295383424034,0.08353703520144289,0.366,1.3392
40,194,80.0,0.0938,0.4688,0.4375,6.6763,6.676,24.590999999999998,90.0029,90.0,119.9897,-2.7517402000000004,1.0469810000000002,1.3723290000000001,85.44988572068,2.153076,0.39952489999999996,-0.21143697,1.778296,-5.69234866,1.5708469413432042,1.5707963267948966,2.09421533348024,949.3012618888506,0.0842725099098908,0.2545,0.927
41,12,80.0,0.2812,0.3438,0.375,24.5303,6.2989,6.2039,89.9999,104.7882,90.0001,-2.741658,1.066868,1.400304,74.61472605432,2.34464,0.4088006,-0.22642384,1.74251,-5.702158160000001,1.5707945814656445,1.828899107238322,1.5707980721241486,926.8365071478861,0.08631511532296084,0.1647,1.5402
42,33,80.0,0.8125,0.0312,0.1562,10.0379,8.6076,9.2385,90.005,90.00200000000001,90.001,-2.7114117,1.119271,1.477364,42.0324293125,2.8972949999999997,0.411615,-0.26042897,1.642633,-5.74271972,1.570883593257496,1.5708312333799366,1.5708137800874167,798.2269801001898,0.10022211976593269,0.1573,3.4388
43,33,80.0,0.625,0.0312,0.3438,10.3335,8.8397,9.4691,90.00399999999999,90.0011,90.0007,-2.7280026,1.11188,1.456878,58.513247625,2.678114,0.472997,-0.27099772,1.6746860000000001,-5.69778596,1.5708661399649761,1.5708155254166685,1.5708085440996604,864.9553154587289,0.09249032703796035,0.2876,2.27
44,194,80.0,0.9688,0.0312,0.0,6.0828,6.0824,23.3707,90.0062,90.0015,120.0065,-2.6980920000000004,1.125632,1.494696,28.315072195680003,3.0803599999999998,0.3605744,-0.25167616,1.6162400000000001,-5.781191840000001,1.5709045372085202,1.5708225067336763,2.094508548794575,748.7768578069564,0.10684090883137971,0.2093,3.9989
45,206,80.0,0.4062,0.3438,0.25,9.4551,9.4548,9.4548,90.00299999999999,90.0032,89.9969,-2.7307829999999997,1.071868,1.414054,63.63516837931999,2.49089,0.36792559999999996,-0.21939883999999998,1.7212600000000002,-5.732483159999999,1.570848686672456,1.5708521773309605,1.5707422215880849,845.2220485536423,0.09464968423019407,0.2108,2.3055
46,12,80.0,0.5,0.5,0.0,24.401999999999997,6.0269,5.7748,89.9995,103.8357,90.0002,-2.7145,1.06,1.415,48.3522693,2.635,0.249,-0.18219999999999997,1.71,-5.7991,1.5707876001486365,1.812274846113076,1.5707998174534008,824.6489022526856,0.09701098222706021,0.0219,2.8387
47,194,80.0,0.6875,0.2188,0.0938,6.2346,6.2343,23.7022,90.0153,90.0037,120.0014,-2.7130883000000003,1.095729,1.452636,44.5751285875,2.792705,0.346635,-0.22917102999999997,1.669867,-5.76618028,1.5710633621704517,1.5708609039772201,2.0944195370027234,797.828284173542,0.1002722034138847,0.3124,2.0234
48,33,80.0,0.625,0.1562,0.2188,10.1949,8.7348,9.3631,90.0035,90.0016,90.0009,-2.7215026,1.0993799999999998,1.4493779999999998,52.876372625,2.7056139999999997,0.40237199999999995,-0.24544771999999998,1.6784360000000003,-5.732885960000001,1.5708574133187163,1.5708242520629283,1.5708120347581647,833.7879154823565,0.09594766068745314,0.2123,2.5317
49,227,40.0,0.0625,0.625,0.3125,10.4654,6.0606,14.7182,88.075,87.7806,30.3034,-2.7460625,1.03,1.359375,81.14384616250001,2.150625,0.3214375,-0.1812375,1.788125,-5.7280625,1.5371987386940058,1.5320604893761347,0.5288941045488497,470.6838302466613,0.08498273666855742,0.2456,0.6786
50,194,80.0,0.8438,0.125,0.0312,6.142,6.1416,23.5046,90.0119,90.0019,120.0044,-2.7040894,1.111252,1.4753180000000001,35.064718870680004,2.954746,0.34845239999999994,-0.23952843999999998,1.6403040000000002,-5.77720588,1.571004020975884,1.5708294880506846,2.0944718968802833,767.8131825460748,0.10419201157073045,0.2261,3.4819
51,167,30.0,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,89.9942,90.0065,120.001,-2.7304155000000003,1.073338,1.4158389999999998,63.18638303461999,2.5008649999999997,0.3704246,-0.22095494,1.71916,-5.73208206,1.5706950976982808,1.5709097731962762,2.0944125556857154,306.85930378876384,0.09776467465575506,0.1608,2.5143
52,194,80.0,0.5,0.5,0.0,6.2225,6.2224,23.7226,90.0187,89.9985,120.0009,-2.7145,1.06,1.415,48.3522693,2.635,0.249,-0.18219999999999997,1.71,-5.7991,1.5711227033650195,1.5707701468561168,2.0944108103564636,795.4479767982816,0.10057225907092511,0.1117,2.9429
53,206,80.0,0.0625,0.0938,0.8438,10.1256,10.1256,10.1258,90.0009,90.0009,89.9987,-2.7739632999999997,1.083229,1.391386,105.1097919625,2.0339549999999997,0.6216349999999999,-0.28984603000000003,1.772367,-5.5794552799999995,1.5708120347581647,1.5708120347581647,1.5707736375146206,1038.1757472169058,0.07705824395769247,0.0908,0.9961
54,194,80.0,0.4062,0.125,0.4688,6.5988,6.5984,24.3959,90.0152,90.0081,119.9925,-2.7421606,1.093748,1.427182,73.50195437932,2.442754,0.4915476,-0.26412156,1.714696,-5.6710441199999995,1.5710616168411997,1.570937698464308,2.094264202699296,919.9915978325528,0.08695731590209671,0.385,1.2886
55,227,40.0,0.4375,0.5625,0.0,10.0463,5.7672,14.2585,94.2984,93.5832,30.1116,-2.7166875,1.05125,1.404375,51.0236106375,2.575625,0.234125,-0.1729375,1.7225000000000001,-5.8014875,1.6458175593626208,1.6333349645523574,0.5255465630435245,413.28423511681103,0.09678569033414586,0.1185,2.3298
56,167,30.0,0.5,0.5,0.0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,-2.7145,1.06,1.415,48.3522693,2.635,0.249,-0.18219999999999997,1.71,-5.7991,1.570661936442493,1.5709516610983238,2.0944108103564636,282.2113960343946,0.10630329044665418,0.0467,3.7759
57,33,40.0,0.4375,0.0,0.5625,5.3319,9.097999999999999,9.7263,90.0029,89.9996,90.0005,-2.7459375,1.1075,1.4381249999999999,76.3895481375,2.4518750000000002,0.5519375,-0.2879125,1.705625,-5.6435375,1.5708469413432042,1.5707893454778887,1.5708050534411566,471.81917667523703,0.0847782412785075,0.2358,1.7358
58,33,80.0,0.125,0.8125,0.0625,10.2554,8.8031,9.4214,89.9979,90.0016,90.0016,-2.730875,1.01375,1.355,67.19875482500001,2.265,0.1950625,-0.1394,1.783125,-5.7958750000000006,1.5707596748806048,1.5708242520629283,1.5708242520629283,850.5575063926744,0.09405595670925351,0.0728,2.1497
59,167,30.0,0.5,0.5,0.0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,-2.7145,1.06,1.415,48.3522693,2.635,0.249,-0.18219999999999997,1.71,-5.7991,1.570661936442493,1.5709516610983238,2.0944108103564636,282.2113960343946,0.10630329044665418,0.0617,3.7029
60,206,80.0,0.6562,0.3438,0.0,9.1287,9.1282,9.1282,90.0038,90.0042,89.9969,-2.709033,1.0818679999999998,1.441554,41.67605302932,2.7833900000000003,0.2861756,-0.20534884,1.67876,-5.79313316,1.5708626493064723,1.5708696306234802,1.5707422215880849,760.6401156657132,0.10517457382586756,0.095,3.8226
61,206,80.0,0.0938,0.6875,0.2188,9.5583,9.5583,9.558,90.0045,90.00399999999999,89.9946,-2.7403678,1.0251109999999999,1.359207,75.58760922068,2.20119,0.27595939999999997,-0.16673469,1.7848570000000001,-5.75375962,1.5708748666112362,1.5708661399649761,1.5707020790152888,873.2293744915123,0.0916139588714415,0.1461,1.8387
62,33,80.0,0.6562,0.1562,0.1875,10.1456,8.6961,9.3246,90.0037,90.0017,90.001,-2.7185098000000005,1.1005189999999998,1.452671,50.12439322932,2.741924,0.3921001,-0.24366303,1.672954,-5.73990134,1.5708609039772201,1.5708259973921805,1.5708137800874167,822.6829008283032,0.09724281362777015,0.1985,2.673
63,227,40.0,0.125,0.3125,0.5625,6.2764,6.2748,14.9602,90.0085,89.999,119.9993,-2.756875,1.06375,1.385,89.74625482500001,2.1550000000000002,0.4775625,-0.24159999999999998,1.768125,-5.655475,1.570944679781316,1.5707788735023767,2.0943828850884314,510.2483282417431,0.07839320147865136,0.4402,0.36700000000000005
64,227,40.0,0.625,0.25,0.125,9.7311,5.7047,14.4281,98.1747,99.6,31.4714,-2.7166249999999996,1.0899999999999999,1.44375,48.646461625,2.72625,0.34937499999999994,-0.22627499999999998,1.6812500000000001,-5.759225,1.7134717571576772,1.7383479349863522,0.5492795502121434,412.2970252395136,0.09701743537141216,0.2328,2.2593
65,33,80.0,0.1875,0.8125,0.0,10.1568,8.7257,9.3445,89.9983,90.00200000000001,90.00200000000001,-2.7254375000000004,1.0162499999999999,1.361875,61.7089759875,2.3381250000000002,0.174625,-0.1358875,1.7725,-5.8110375,1.5707666561976128,1.5708312333799366,1.5708312333799366,828.1580843387324,0.09659991433142671,0.0614,2.4345
66,12,80.0,0.2188,0.5312,0.25,24.6283,6.2468,6.0884,89.9999,104.4371,90.0001,-2.737342,1.045632,1.382196,71.64491824568,2.31286,0.32332439999999996,-0.19162616,1.7587400000000002,-5.739641840000001,1.5707945814656445,1.82277125623457,1.5707980721241486,907.1097360610087,0.08819219640105319,0.1138,1.6944
67,33,80.0,0.4375,0.125,0.4375,10.5252,8.9931,9.6202,90.0025,90.0003,90.0006,-2.7394375,1.095,1.430625,70.7526731375,2.479375,0.4813125,-0.2623625,1.709375,-5.678637500000001,1.5708399600261964,1.5708015627826524,1.5708067987704086,910.5921041803915,0.08785492388165021,0.2699,1.8454
68,33,80.0,0.3125,0.2812,0.4062,10.549000000000001,9.0167,9.6414,90.0012,90.0002,90.0005,-2.7419117,1.074271,1.4073639999999998,74.6769100125,2.367295,0.43386499999999995,-0.23742897000000002,1.735133,-5.69161972,1.5708172707459205,1.5707998174534008,1.5708050534411566,917.0626662059791,0.08723504177852051,0.2103,1.5678
69,194,80.0,0.4375,0.5625,0.0,6.2421,6.2421,23.7696,90.0178,89.9991,120.0001,-2.7166875,1.05125,1.404375,51.0236106375,2.575625,0.234125,-0.1729375,1.7225000000000001,-5.8014875,1.5711069954017514,1.5707806188316287,2.0943968477224475,802.0722383776615,0.0997416394336434,0.1252,2.7433
70,227,40.0,0.6875,0.1875,0.125,9.7089,5.6902,14.4064,98.4826,99.9592,31.4469,-2.7144375,1.09875,1.4543750000000002,45.9751202875,2.785625,0.36424999999999996,-0.23553749999999998,1.66875,-5.7568375000000005,1.7188456259245675,1.7446171576595155,0.5488519445454048,408.96535189612115,0.0978077967107594,0.2712,2.1345
71,227,40.0,0.5,0.375,0.125,10.0751,5.8346,14.3692,90.796,90.9241,30.3005,-2.721,1.0725,1.4225,53.98914429999999,2.6075000000000004,0.319625,-0.20775,1.70625,-5.764,1.5846891476407714,1.586924914412576,0.5288434900005418,426.1161434842222,0.09387112084731677,0.2728,2.5418
72,33,80.0,0.625,0.2812,0.0938,10.0562,8.6299,9.257,90.00299999999999,90.00200000000001,90.0013,-2.7150026,1.0868799999999998,1.441878,47.239497625,2.733114,0.331747,-0.21989771999999996,1.6821860000000002,-5.76798596,1.570848686672456,1.5708312333799366,1.5708190160751725,803.359489720178,0.09958181987476764,0.1432,2.9752
73,33,80.0,0.125,0.2188,0.6562,10.9139,9.3013,9.9251,90.0001,89.9982,90.0002,-2.7617474,1.07312,1.390622,93.971656325,2.134386,0.530503,-0.26075228,1.765314,-5.62916404,1.5707980721241486,1.5707649108683606,1.5707998174534008,1007.5312221856877,0.07940200585193977,0.2677,1.0205
74,167,30.0,0.6667,0.3333,0.0,4.8947,4.8944,13.293,89.9894,90.0117,120.0012,-2.7086655,1.083338,1.443339,41.227267684619996,2.7933649999999997,0.28867459999999995,-0.20690493999999998,1.67666,-5.79273206,1.570611321894185,1.5710005303173797,2.0944160463442194,275.78707716209084,0.10877957121380212,0.0442,4.2309
75,206,80.0,0.4688,0.2188,0.3125,9.4843,9.484,9.4841,90.0023,90.0028,89.9978,-2.7321152,1.086981,1.428579,63.78496269568,2.5368259999999996,0.41814989999999996,-0.24146197,1.707046,-5.71312366,1.5708364693676926,1.5708451960139522,1.5707579295513527,853.0862683560975,0.09377715123015694,0.2292,2.3414
76,33,80.0,0.0625,0.75,0.1875,10.4232,8.9329,9.5513,89.9978,90.0009,90.001,-2.739562500000001,1.0174999999999998,1.3518750000000002,75.5069711625,2.178125,0.2508125,-0.1556875,1.7918749999999999,-5.7631625,1.5707579295513527,1.5708120347581647,1.5708137800874167,889.3158426475272,0.089956791685884,0.1649,1.6372
77,194,80.0,0.875,0.0938,0.0312,6.1329,6.1325,23.4812,90.0105,90.0024,120.0048,-2.7029974,1.1156199999999998,1.480622,33.731185275,2.984386,0.35587799999999997,-0.24415227999999997,1.6340640000000002,-5.776014040000001,1.570979586366356,1.5708382146969444,2.0944788781972914,764.7743950021658,0.10460601260032176,0.2143,3.6242
78,12,80.0,0.0,0.4062,0.5938,24.765,6.5014,6.486000000000001,90.0003,105.241,90.0,-2.7628776,1.0493800000000002,1.365628,96.500411,2.029364,0.465497,-0.22947272,1.792186,-5.65146096,1.5708015627826524,1.8368019580913524,1.5707963267948966,1007.5633115130677,0.07939947702131316,0.0824,1.1499
79,194,80.0,0.3125,0.6562,0.0312,6.3051,6.3051,23.9038,90.0137,90.0015,119.9979,-2.7224117000000003,1.036771,1.384864,57.7662850125,2.4497950000000004,0.22199,-0.16077897,1.746383,-5.79691972,1.57103543690242,1.5708225067336763,2.0943584504789032,822.9827023708543,0.09720738937712231,0.2527,1.3415
80,12,80.0,0.3125,0.375,0.3125,24.5144,6.2551,6.1334,89.9999,104.6359,90.0001,-2.7373125,1.065,1.401875,70.4584808125,2.3881249999999996,0.3809375,-0.2182875,1.7381250000000001,-5.7185125,1.5707945814656445,1.8262409707875347,1.5707980721241486,909.9775930144693,0.08791425263009518,0.1756,1.6822
81,33,80.0,0.5,0.1562,0.3438,10.392000000000001,8.8895,9.5168,90.0028,90.0008,90.0007,-2.7323776,1.0943800000000001,1.435628,63.8559303,2.559364,0.44324699999999995,-0.25247272,1.699686,-5.70256096,1.5708451960139522,1.5708102894289124,1.5708085440996604,879.1589754900778,0.09099605672046385,0.2614,2.0137
82,12,20.0,0.375,0.625,0.0,12.2659,3.0312,5.8004,89.9997,103.7911,90.0002,-2.718875,1.0425,1.39375,53.694951975,2.5162500000000003,0.21925,-0.163675,1.735,-5.803875,1.5707910908071407,1.8114964292666864,1.5707998174534008,209.44394271140393,0.09549094493297575,0.0215,2.5838
